Theta	E
116.607992	1570.714250
116.607992	1665.666750
116.607992	1796.214766
116.607992	1576.084803
116.607992	1664.240692
58.707842	1870.564250
58.707842	1793.602750
58.707842	1870.170405
58.707842	1825.576818
101.457850	1824.587250
101.457850	1775.611750
101.457850	1621.688750
101.457850	1667.665750
101.457850	1704.647250
101.457850	1824.755260
101.457850	1775.263426
101.457850	1612.316841
101.457850	744.028670
101.457850	1685.753462
116.065792	1797.600750
116.065792	1665.666750
116.065792	1570.714250
86.728219	1810.594250
86.728219	1856.571250
86.728219	1666.666250
86.728219	1810.701896
86.728219	1854.300879
86.728219	1700.250532
119.576473	1794.602250
119.576473	1564.717250
119.576473	1659.669750
119.576473	1793.210615
119.576473	1565.842042
119.576473	1660.652428
146.637274	1743.627750
146.637274	1480.759250
146.637274	1592.703250
146.637274	1743.530757
146.637274	1476.001943
146.637274	1584.694522
94.367783	1798.600250
94.367783	1845.576750
94.367783	1647.675750
94.367783	1707.645750
94.367783	1799.123403
94.367783	1844.348432
94.367783	1645.691629
94.367783	1698.436158
125.536441	1780.609250
125.536441	1540.729250
125.536441	1641.678750
125.536441	1779.310502
125.536441	1542.472838
125.536441	1639.110167
60.313731	1864.567250
60.313731	1804.597250
60.313731	1779.609750
60.313731	1865.666316
60.313731	1821.665278
60.313731	996.399099
99.950956	1832.583250
99.950956	1785.606750
99.950956	1628.685250
99.950956	1832.598450
99.950956	1784.462750
99.950956	1657.485289
54.991454	1877.560750
54.991454	1795.601750
54.991454	1876.333384
54.991454	1833.640920
150.913801	1719.639750
150.913801	1428.785250
150.913801	1548.725250
150.913801	1718.964981
150.913801	1432.451930
150.913801	1550.235978
145.469098	1744.627250
145.469098	1485.756750
145.469098	1580.709250
145.469098	1744.988992
145.469098	1478.408643
145.469098	1583.620001
52.377551	1878.560250
52.377551	1877.823676
91.208016	1798.600250
91.208016	1846.576250
91.208016	1646.676250
91.208016	1707.645750
91.208016	1798.403899
91.208016	1844.808797
91.208016	1646.584687
91.208016	1701.050469
154.603020	1743.627750
154.603020	1463.767750
154.603020	1582.708250
154.603020	1742.427781
154.603020	1467.369104
154.603020	1577.588457
149.263355	1730.634250
149.263355	1441.778750
149.263355	1562.718250
149.263355	1729.601288
149.263355	1445.371560
149.263355	1562.008963
87.398131	1810.594250
87.398131	1857.570750
87.398131	1665.666750
87.398131	1727.635750
87.398131	1811.564398
87.398131	1855.032449
